Elapsed Time (s),Hot(C),Cold(C),Tset(C),Voltage(V)
143.6119852,32.38,10.81,10,4.34
144.1629839,32.63,10.75,10,4.3
144.6048317,30.87,10.75,10,4.24
145.1493483,30.69,10.75,10,4.25
145.6960721,30.69,10.75,10,4.25
146.1356518,30.69,10.75,10,4.27
146.6878135,30.69,10.75,10,4.3
147.1278408,30.69,10.75,10,4.29
147.6754808,30.69,10.75,10,4.25
148.1113627,30.69,10.75,10,4.29
148.6563363,30.69,10.75,10,4.45
149.2009337,30.69,10.75,10,4.17
149.6392958,30.69,10.69,10,4.37
150.1847243,30.69,10.69,10,4.32
150.621228,30.69,10.69,10,4.41
151.1653168,30.69,10.69,10,4.26
151.7086012,30.69,10.69,10,4.31
152.1413369,30.69,10.69,10,4.27
152.6881647,30.69,10.69,10,4.24
153.121562,30.69,10.69,10,4.27
153.6649251,30.69,10.69,10,4.42
154.2091401,30.69,10.69,10,4.32
154.6441104,30.69,10.69,10,4.34
155.1919868,30.69,10.69,10,4.29
155.6249804,30.69,10.69,10,4.37
156.1690609,30.69,10.69,10,4.31
156.7199426,30.69,10.69,10,4.33
157.1598322,30.69,10.63,10,4.29
157.7017,30.69,10.63,10,4.28
158.1421108,30.69,10.63,10,4.32
158.6865673,30.69,10.63,10,4.27
159.235652,30.69,10.63,10,4.11
159.6718442,30.69,10.63,10,4.35
160.2228589,30.69,10.63,10,4.35
160.6645367,30.69,10.56,10,4.3
161.2175655,30.69,10.56,10,4.23
161.6543317,30.69,10.56,10,4.28
162.2009914,30.69,10.56,10,4.29
162.7457557,30.69,10.56,10,4.23
163.1806962,30.69,10.56,10,4.26
163.7258735,30.69,10.56,10,4.3
164.161912,30.69,10.56,10,4.3
164.703913,30.69,10.56,10,4.38
165.2454224,30.69,10.56,10,4.72
165.6811452,30.69,10.56,10,4.32
166.225086,30.69,10.56,10,4.3
166.7650082,30.69,10.56,10,4.32
167.1965609,30.6,10.56,10,4.34
167.7548058,30.69,10.56,10,4.3
168.1871548,30.69,10.5,10,4.3
168.7440429,30.69,10.56,10,4.34
169.181463,30.69,10.56,10,4.34
169.728693,30.69,10.5,10,4.23
170.2718604,30.69,10.5,10,4.32
170.70679,30.69,10.5,10,4.27
171.2471313,30.69,10.5,10,4.29
172.2559762,30.69,10.44,10,4.43
172.6921313,30.69,10.44,10,4.27
173.2412105,30.69,10.44,10,4.27
173.7875617,30.69,10.44,10,4.2
174.2243397,30.69,10.44,10,4.33
174.7682517,30.69,10.44,10,4.3
175.2046211,30.69,10.44,10,4.32
175.7485511,30.69,10.44,10,4.27
176.2931991,30.69,10.44,10,4.3
176.7297204,30.69,10.44,10,4.3
177.2703471,30.69,10.44,10,4.27
177.7079113,30.69,10.44,10,4.33
178.2494488,30.69,10.44,10,4.37
178.7921906,30.69,10.44,10,4.31
179.2284515,30.69,10.44,10,4.22
179.7743354,30.69,10.44,10,442
180.2076705,30.69,10.44,10,4.27
180.7520154,30.69,10.44,10,4.35
181.2956231,30.69,10.44,10,4.29
181.7297559,30.69,10.44,10,4.34
182.2751892,30.69,10.38,10,4.27
182.708452,30.69,10.38,10,4.32
183.2533305,30.69,10.38,10,4.21
183.7978289,30.69,10.38,10,3.95
184.2348852,30.69,10.38,10,4.3
184.7813358,30.69,10.38,10,4.31
185.2153614,30.69,10.38,10,4.28
185.8055849,30.69,10.38,10,4.3
186.2401071,30.62,10.38,10,4.33
186.7825701,30.62,10.38,10,4.32
187.3286812,30.62,10.38,10,4.43
187.7629755,30.62,10.38,10,4.24
188.3075318,30.62,10.38,10,4.32
188.7443972,30.62,10.38,10,4.31
189.2903714,30.62,10.38,10,4.32
189.8338494,30.62,10.38,10,4.32
190.2705972,30.62,10.38,10,4.27
190.81669,30.62,10.38,10,4.29
191.2535026,30.62,10.31,10,4.25
191.7959478,30.62,10.31,10,4.3
192.3395541,30.62,10.31,10,4.29
192.7761171,30.62,10.31,10,4.28
193.3208461,30.62,10.31,10,4.24
193.7562835,30.62,10.31,10,4.31
194.3005199,30.62,10.31,10,4.21
194.8442531,30.62,10.31,10,4.25
195.2806447,30.62,10.31,10,4.01
195.825587,30.62,10.31,10,4.32
196.2616856,30.62,10.31,10,4.22
196.8060975,30.62,10.31,10,4.3
197.3489652,30.62,10.31,10,4.23
197.7819397,30.62,10.31,10,4.26
198.3267865,30.62,10.31,10,4.3
198.7612407,30.62,10.31,10,4.39
199.3031087,30.62,10.31,10,4.31
199.8479397,30.62,10.31,10,4.34
200.280973,30.62,10.25,10,4.27
200.8233066,30.62,10.25,10,4.99
201.3669226,30.62,10.25,10,4.23
201.8011534,30.62,10.25,10,4.24
202.3435125,30.62,10.25,10,4.21
202.7799284,30.62,10.25,10,4.25
203.3247643,30.62,10.25,10,4.29
203.8692253,30.62,10.25,10,4.3
204.3050354,30.62,10.25,10,4.42
204.8502431,30.62,10.25,10,4.34
205.28392,30.62,10.25,10,4.3
205.8267796,30.62,10.25,10,4.14
206.3687325,30.62,10.25,10,4.34
206.8053384,30.62,10.25,10,4.28
207.3452563,30.62,10.25,10,4.3
207.8901308,30.62,10.25,10,4.27
208.3224702,30.62,10.25,10,3.91
208.867455,30.62,10.25,10,4.33
209.3017902,30.62,10.25,10,0.33
209.8767767,30.62,10.25,10,4.22
210.3108866,30.62,10.25,10,4.25
210.8549144,30.62,10.19,10,4.23
211.2915502,30.62,10.19,10,4.24
211.8350799,30.62,10.19,10,4
212.3813021,30.62,10.19,10,4.28
212.8163021,30.62,10.19,10,4.25
213.3607938,30.62,10.19,10,4.29
213.906527,30.2,10.19,10,4.24
214.3420653,30.62,10.19,10,4.27
215.3216028,30.62,10.19,10,4.3
215.8665125,30.62,10.19,10,4.24
216.4089825,30.62,10.19,10,4.29
216.8416309,30.62,10.19,10,4.3
